iter	Passed	Remaining
642	25867	14361
643	25908	14321
644	25948	14281
645	25988	14241
646	26028	14200
647	26068	14160
648	26101	14116
649	26141	14076
650	26183	14036
651	26222	13995
652	26260	13954
653	26300	13914
654	26340	13874
655	26384	13836
656	26425	13795
657	26464	13755
658	26504	13714
659	26544	13674
660	26585	13634
661	26626	13595
662	26668	13555
663	26709	13515
664	26747	13474
665	26786	13433
666	26834	13397
667	26876	13357
668	26915	13316
669	26952	13274
670	26991	13234
671	27031	13193
672	27070	13153
673	27108	13112
674	27147	13070
675	27187	13030
676	27224	12989
677	27263	12948
678	27303	12907
679	27341	12866
680	27381	12826
681	27423	12787
682	27462	12746
683	27504	12706
684	27542	12665
685	27584	12626
686	27623	12585
687	27663	12545
688	27702	12504
689	27741	12463
690	27782	12423
691	27821	12383
692	27859	12341
693	27902	12302
694	27941	12261
695	27979	12221
696	28020	12181
697	28058	12139
698	28097	12099
699	28136	12058
700	28176	12018
701	28214	11976
702	28262	11940
703	28301	11899
704	28339	11858
705	28378	11817
706	28414	11775
707	28451	11734
708	28493	11694
709	28532	11654
710	28573	11614
711	28612	11573
712	28652	11533
713	28693	11493
714	28732	11452
715	28773	11412
716	28812	11372
717	28851	11331
718	28890	11291
719	28927	11249
720	28969	11210
721	29010	11170
722	29048	11129
723	29090	11089
724	29131	11049
725	29171	11009
726	29211	10969
727	29250	10928
728	29291	10888
729	29329	10847
730	29374	10809
731	29413	10768
732	29451	10727
733	29496	10689
734	29538	10649
735	29577	10609
736	29616	10568
737	29656	10528
738	29697	10488
739	29736	10448
740	29775	10407
741	29814	10366
742	29852	10325
743	29893	10286
744	29932	10245
745	29969	10204
746	30013	10165
747	30051	10124
748	30090	10083
749	30130	10043
750	30173	10004
751	30211	9963
752	30249	9922
753	30289	9882
754	30326	9841
755	30365	9800
756	30406	9760
757	30444	9719
758	30482	9678
759	30539	9644
760	30585	9605
761	30627	9566
762	30667	9525
763	30707	9485
764	30747	9445
765	30786	9404
766	30826	9364
767	30864	9323
768	30904	9283
769	30945	9243
770	30984	9202
771	31021	9161
772	31061	9121
773	31101	9081
774	31139	9040
775	31177	8999
776	31216	8959
777	31256	8918
778	31296	8878
779	31335	8838
780	31372	8797
781	31411	8756
782	31449	8715
783	31489	8675
784	31529	8635
785	31568	8594
786	31608	8554
787	31646	8514
788	31685	8473
789	31722	8432
790	31762	8392
791	31801	8351
792	31841	8311
793	31881	8271
794	31923	8231
795	31961	8191
796	32003	8151
797	32044	8111
798	32086	8071
799	32127	8031
800	32165	7991
801	32209	7952
802	32249	7911
803	32291	7871
804	32329	7831
805	32368	7791
806	32410	7751
807	32448	7710
808	32490	7670
809	32528	7630
810	32566	7589
811	32606	7549
812	32644	7508
813	32685	7468
814	32726	7428
815	32768	7388
816	32811	7349
817	32858	7310
818	32897	7270
819	32940	7230
820	32982	7191
821	33027	7151
822	33067	7111
823	33108	7071
824	33148	7031
825	33188	6991
826	33233	6952
827	33271	6911
828	33309	6870
829	33348	6830
830	33387	6790
831	33427	6749
832	33465	6709
833	33512	6670
834	33552	6630
835	33592	6589
836	33634	6550
837	33680	6511
838	33720	6470
839	33759	6430
840	33798	6390
841	33838	6349
842	33877	6309
843	33916	6268
844	33954	6228
845	33993	6187
846	34033	6147
847	34091	6110
848	34138	6071
849	34181	6032
850	34226	5992
851	34270	5953
852	34312	5913
853	34351	5872
854	34390	5832
855	34435	5792
856	34474	5752
857	34515	5712
858	34555	5672
859	34595	5631
860	34634	5591
861	34674	5551
862	34714	5510
863	34754	5470
864	34793	5430
865	34831	5389
866	34872	5349
867	34913	5309
868	34954	5269
869	34993	5228
870	35038	5189
871	35079	5149
872	35120	5109
873	35165	5069
874	35209	5029
875	35253	4990
876	35294	4950
877	35335	4909
878	35375	4869
879	35416	4829
880	35457	4789
881	35498	4749
882	35553	4710
883	35604	4672
884	35657	4633
885	35714	4595
886	35753	4554
887	35793	4514
888	35842	4475
889	35896	4436
890	35934	4396
891	35974	4355
